#       BSFG          |   BSFG with ED   |       CT
# 1 2 3  4   5    6    7   8     9    10   11  12   13   14   15
Z A El a   da   E1  dE1 atil datil  E2  dE2  T    dT   E0   dE0
92 239 U  26.67 31 -0.31 9  25.95 30  -0.30 9  0.42 2  -0.92 18 
93 237 Np  25.01 27 -0.40 6  24.47 26  -0.39 6  0.47 1  -1.14 12 
93 238 Np  25.96 33 -0.84 11  25.55 32  -0.84 11  0.45 2  -1.64 24 
93 239 Np  25.26 58 -0.63 8  24.65 55  -0.62 8  0.46 1  -1.34 15 
94 239 Pu  25.23 49 -0.30 11  25.22 49  -0.30 11  0.45 1  -0.91 14 
94 240 Pu  25.16 20  0.12 8  24.97 20  0.13 8  0.46 1 -0.50 15 
94 241 Pu  26.03 29 -0.32 7  25.86 29  -0.32 7  0.42 1  -0.90 13 
94 242 Pu  28.97 51  0.34 10  28.57 50  0.34 10  0.40 1 -0.22 15 
94 243 Pu  27.20 40 -0.19 7  26.93 39  -0.19 7  0.41 1  -0.74 12 
94 245 Pu  27.63 64 -0.19 12  27.20 62  -0.19 12  0.39 2  -0.57 20 
95 242 Am  26.19 23 -0.74 7  26.22 23  -0.74 7  0.44 1  -1.49 15 
95 243 Am  26.42 48 -0.43 8  26.20 47  -0.43 8  0.44 1  -1.05 15 
95 244 Am  26.02 29 -0.84 7  25.96 29  -0.84 7  0.45 1  -1.67 12 
96 243 Cm  24.39 43 -0.26 9  24.70 44  -0.26 9  0.46 1  -0.82 15 
96 244 Cm  24.63 61  0.17 16  24.92 62  0.17 16  0.46 2 -0.34 23 
96 245 Cm  24.96 33 -0.39 8  25.38 34  -0.40 8  0.45 1  -0.99 13 
96 246 Cm  27.56 44  0.42 7  27.81 45  0.42 7  0.42 1 -0.29 12 
96 247 Cm  23.64 54 -0.62 12  23.89 54  -0.62 12  0.47 2  -1.17 20 
96 248 Cm  25.03 62  0.29 13  24.99 62  0.30 13  0.43 2 -0.18 25 
96 249 Cm  25.53 57 -0.57 10  25.42 57  -0.56 10  0.43 2  -1.11 16 
97 250 Bk  25.86 38 -0.94 9  25.95 38  -0.95 9  0.44 1  -1.66 16 
98 250 Cf  24.74 35  0.20 9  25.42 36  0.19 9  0.45 1 -0.31 16 
98 251 Cf  26.34 49 -0.43 7  26.96 50  -0.43 7  0.42 1  -0.99 13 
