#       BSFG          |   BSFG with ED   |       CT
# 1 2 3  4   5    6    7   8     9    10   11  12   13   14   15
Z A El a   da   E1  dE1 atil datil  E2  dE2  T    dT   E0   dE0
31 70 Ga  10.09 37 -0.66 25  9.22 33  -0.59 24  0.91 5  -1.81 41 
32 72 Ga  9.91 31 -1.23 23  8.77 26  -1.13 22  0.92 5  -2.44 39 
32 71 Ge  9.82 40 -0.91 23  8.76 35  -0.80 22  0.95 5  -2.29 38 
32 73 Ge  9.67 33 -1.15 23  8.40 27  -1.04 22  0.95 5  -2.35 40 
32 74 Ge  9.96 34  0.77 21  8.82 30  0.88 20  0.91 4 -0.29 30 
32 75 Ge  9.14 55 -1.16 29  8.06 48  -1.06 28  0.98 8  -2.28 47 
32 77 Ge  9.29 53 -1.15 33  8.52 48  -1.09 32  0.96 8  -2.14 53 
33 76 As 10.39 20  -1.89 18  9.21 17  -1.75 17  0.96 3  -3.59 32 
34 75 Se  10.12 30 -1.25 21  8.95 25  -1.12 20  0.96 6  -2.77 49 
34 77 Se  10.10 26 -1.18 25  8.86 22  -1.06 23  0.94 6  -2.50 53 
34 78 Se  10.25 34  0.75 18  9.13 30  0.84 17  0.93 4 -0.32 29 
34 79 Se  9.41 39 -1.15 24  8.41 34  -1.04 23  0.99 6  -2.37 41 
34 81 Se  10.83 35 -0.06 21  10.22 33  -0.01 21  0.83 4  -1.00 32 
34 83 Se  10.09 42 -0.71 31  10.12 42  -0.71 31  0.90 6  -1.76 47 
35 80 Br  10.65 19 -1.74 17  9.62 17  -1.62 16  0.94 3  -3.37 30 
35 82 Br  10.70 26 -1.12 20  10.10 24  -1.07 19  0.90 4  -2.34 34 
36 79 Kr  10.29 41 -1.22 20  9.22 36  -1.12 19  0.95 5  -2.62 35 
36 81 Kr  11.17 34 -0.66 20  10.03 30  -0.57 19  0.87 4  -1.91 34 
36 84 Kr  8.93 32  0.97 28  8.74 31  0.99 28  0.98 4  0.25 37 
36 85 Kr  12.47 37  0.87 15  12.48 38  0.87 50  0.73 3 -0.02 22 
37 86 Rb  9.53 26 -0.64 22  9.85 27  -0.67 22  0.99 4  -1.71 35 
37 88 Rb  9.81 36 -0.54 25  10.34 39  -0.59 25  0.91 5  -1.39 37 
38 85 Sr  10.93 54 -0.18 21  10.48 52  -0.14 20  0.88 5  -1.30 33 
38 87 Sr  9.11 44 -0.10 38  9.43 46  -0.16 38  1.04 11  1.28 74 
38 88 Sr  8.95 41  1.97 30  9.71 45  1.88 31  0.97 5  1.31 37 
38 89 Sr  9.63 39  0.87 28  10.51 44  0.80 29  0.88 6  0.25 39 
39 90 Y 9.03 32 -0.57 33  9.81 36  -0.67 34  1.01 6  -1.48 48 
40 91 Zr  10.03 44  0.52 25  11.05 50  0.39 26  0.89 5 -0.23 36 
40 92 Zr  9.99 34  1.07 25  10.47 36  1.03 25  0.90 4  0.29 33 
40 93 Zr  10.72 52  0.10 33  10.95 53  0.08 33  0.86 6 -0.85 45 
40 94 Zr  12.02 46  1.13 31  11.86 45  1.16 31  0.76 4  0.35 36 
40 95 Zr  11.89 63  0.59 31  11.63 61  0.60 31  0.76 5 -0.19 40 
40 97 Zr  11.77 66  0.81 30  11.06 61  0.83 29  0.71 5  0.38 37 
41 94 Nb  10.88 26 -1.37 20  11.07 27  -1.39 21  0.86 3  -2.44 33 
42 93 Mo  9.78 34  0.21 26  11.31 41  0.08 27  0.94 5 -0.60 38 
42 95 Mo  10.56 29 -0.52 28  11.04 31  -0.56 29  0.89 6  -1.41 51 
42 96 Mo  10.90 21  0.59 21  10.88 21  0.60 21  0.87 4 -0.29 35 
42 97 Mo  11.14 36 -0.81 21  10.83 35  -0.78 21  0.87 4  -1.91 34 
42 98 Mo  12.02 41  0.68 16  11.29 38  0.72 16  0.79 3 -0.18 25 
42 99 Mo  12.57 41 -0.64 17  11.37 36  -0.58 17  0.75 4  -1.53 29 
42 101 Mo  13.00 40 -1.11 16  11.21 33  -1.02 15  0.74 3  -2.17 27 
43 100 Tc  13.93 31 -1.26 15  12.95 29  -1.21 14  0.71 3  -2.44 25 
44 100 Ru  12.15 26  0.70 15  12.00 25  0.72 16  0.80 2 -0.16 25 
44 102 Ru  12.94 27  0.57 19  12.04 25  0.62 19  0.76 3 -0.30 32 
44 103 Ru  12.30 48 -1.18 18  11.11 43  -1.12 18  0.80 4  -2.27 32 
44 105 Ru  13.39 51 -1.31 21  11.81 44  -1.21 20  0.75 4  -2.55 34 
45 104 Rh  13.33 22 -1.75 15  12.50 20  -1.68 14  0.81 4  -3.38 39 
46 105 Pd  12.79 26 -0.81 16  12.35 25  -0.79 16  0.78 3  -1.88 28 
46 106 Pd  13.42 16  0.68 14  12.71 15  0.73 14  0.75 2 -0.29 26 
46 107 Pd  13.46 56 -0.77 19  12.37 51  -0.73 18  0.72 4  -1.63 32 
46 108 Pd  14.34 22  1.07 14  13.09 19  1.13 14  0.70 2  0.18 21 
46 109 Pd  14.02 34 -1.19 18  12.60 30  -1.11 17  0.72 5  -2.34 40 
46 111 Pd  15.84 66 -0.71 16  14.05 57  -0.66 16  0.62 4  -1.56 28 
47 108 Ag  14.27 29 -1.18 14  13.68 27  -1.15 14  0.74 4  -2.47 34 
47 110 Ag  14.93 19 -1.55 12  13.85 17  -1.48 11  0.73 3  -3.10 32 
48 107 Cd  12.84 42 -0.51 17  13.54 45  -0.55 17  0.79 3  -1.63 28 
48 109 Cd  14.04 45 -0.33 16  13.92 45  -0.33 16  0.72 3  -1.36 26 
48 111 Cd  14.04 27 -0.52 13  13.43 26  -0.49 13  0.72 2  -1.64 22 
48 112 Cd  14.25 30  0.77 18  13.50 29  0.81 17  0.71 3 -0.06 30 
48 113 Cd  14.17 29 -0.74 13  13.25 26  -0.69 12  0.72 2  -1.90 22 
48 114 Cd  14.73 20  0.92 12  13.81 18  0.99 12  0.71 2 -0.23 23 
48 115 Cd  15.06 35 -0.43 13  14.01 32  -0.39 13  0.66 2  -1.37 22 
48 117 Cd  15.27 53 -0.25 15  14.41 49  -0.22 15  0.63 3  -1.04 24 
49 114 In  14.23 38 -0.68 19  13.84 37  -0.67 19  0.69 4  -1.52 38 
49 116 In  14.76 23 -1.12 16  14.22 21  -1.09 16  0.69 4  -2.26 36 
60 113 Sn  13.67 56 -0.03 18  14.16 59  -0.06 18  0.74 4  -1.06 27 
50 115 Sn  14.07 68  0.52 25  14.37 70  0.51 25  0.70 4 -0.33 33 
50 116 Sn  14.13 40  1.66 11  13.99 40  1.67 11  0.73 2  0.52 17 
50 117 Sn  14.15 66  0.21 18  14.16 66  0.21 18  0.69 4 -0.68 27 
50 118 Sn  13.53 27  0.96 20  13.33 26  0.97 20  0.74 3  0.21 30 
50 119 Sn  14.38 42  0.05 15  14.42 42  0.04 15  0.68 3 -0.85 23 
50 120 Sn  13.14 40  0.85 22  13.17 40  0.85 22  0.76 3  0.12 32 
50 121 Sn  12.23 35 -0.66 22  12.63 37  -0.69 23  0.79 4  -1.47 34 
50 123 Sn  12.84 62 -0.47 24  14.07 70  -0.54 25  0.74 5  -1.20 36 
50 125 Sn  12.10 58 -0.20 27  14.44 73  -0.36 28  0.77 5  -0.83 37 
51 122 Sb  14.78 29 -1.13 16  14.90 30  -1.14 16  0.70 4  -2.21 35 
