0.146,4.71,1.33
0.352,3.80,1.93
0.557,2.31,1.64
0.762,0.75,1.64
0.967,9.34,2.20
1.173,20.58,2.81
1.378,6.79,1.78
1.584,3.36,1.76
1.789,5.77,2.04
1.994,7.51,2.10
2.200,9.21,1.70
2.405,14.03,2.11
2.611,12.65,1.97
2.816,22.84,2.56
3.022,57.22,4.11
3.228,63.34,3.76
3.433,73.30,4.36
3.639,59.03,3.80
3.845,51.06,3.37
4.050,70.70,3.95
4.256,78.39,4.32
4.462,79.60,4.27
4.668,109.40,5.25
4.874,128.96,5.77
5.080,135.37,5.68
5.286,200.38,6.93
5.492,275.36,8.83
5.698,311.11,9.06
5.904,332.55,9.43
6.110,416.53,10.24
6.316,497.56,11.54
6.523,670.29,13.86
6.729,804.80,15.89
6.936,861.86,16.23
7.142,1054.20,18.48
7.349,1556.53,23.08
7.556,1730.56,24.25
7.763,2152.90,27.85
7.970,2410.99,31.68
8.177,3134.54,36.03
8.384,3596.39,41.41
8.591,4346.58,45.80
8.799,5169.57,53.64
9.007,5875.43,59.72
9.215,6740.07,72.50
9.423,9570.77,93.84
