0.234,4.22,0.31
0.474,8.62,0.51
0.714,12.7,0.61
0.954,17.1,0.85
1.194,20.1,1.04
1.434,26.2,1.57
1.674,33.7,2.1
1.914,45.0,2.55
2.154,48.3,3.66
2.394,57.2,4.36
2.634,64.4,5.51
2.874,90.1,8.3
3.114,130.0,11.6
3.354,124.0,13.5
3.594,160.0,19.6
3.834,169.0,23.0
4.074,193.0,27.9
4.314,231.0,38.7
4.554,239.0,46.6
4.794,319.0,59.7
5.034,382.0,80.8
5.274,317.0,90.8
5.514,520.0,134.0
5.754,570.0,191.0
5.994,578.0,238.0
6.234,542.0,381.0
6.474,844.0,629.0
6.714,1250.0,906.0
6.954,1380.0,1480.0
7.194,1350.0,2680.0
