0.006,5.49,0.678
0.125,12.7,0.842
0.245,14.3,0.969
0.364,12.3,1.16
0.483,10.8,1.41
0.603,12.9,1.98
0.722,22.8,2.74
0.842,34.7,2.99
0.961,51.3,4.25
1.08,82.8,4.56
1.2,108.0,6.78
1.319,135.0,8.41
1.438,187.0,12.3
1.558,271.0,14.0
1.677,349.0,20.5
1.796,499.0,26.8
1.916,654.0,34.6
2.035,835.0,50.2
2.154,1200.0,60.8
2.274,1540.0,77.9
2.393,2020.0,137.0
2.512,2810.0,184.0
2.632,4020.0,262.0
2.751,4370.0,334.0
2.87,6200.0,480.0
2.99,7790.0,625.0
3.109,9350.0,1030.0
3.228,12600.0,1490.0
3.348,18800.0,2030.0
3.467,22600.0,3260.0
3.586,28900.0,5180.0
3.706,48800.0,9070.0
3.825,48300.0,14000.0
3.944,87900.0,24400.0
4.064,93400.0,46500.0
4.183,181000.0,119000.0
