0.048,3.36,0.06
0.167,3.47,0.07
0.286,3.26,0.07
0.406,2.86,0.07
0.525,2.87,0.08
0.644,2.75,0.08
0.763,2.77,0.08
0.882,2.83,0.09
1.001,2.77,0.13
1.12,3.57,0.14
1.24,4.96,0.14
1.359,6.7,0.15
1.478,8.18,0.19
1.597,9.63,0.19
1.716,9.83,0.22
1.835,10.4,0.26
1.954,11.0,0.26
2.074,11.0,0.29
2.193,10.1,0.34
2.312,11.7,0.38
2.431,12.4,0.42
2.55,12.7,0.45
2.669,15.3,0.54
2.788,15.2,0.55
2.907,17.7,0.65
3.027,22.3,0.83
3.146,26.8,0.76
3.265,30.4,0.92
3.384,36.3,1.11
3.503,38.6,1.2
3.622,44.7,1.69
3.741,47.9,1.75
3.861,51.3,1.98
3.98,53.2,1.94
4.099,52.9,2.45
4.218,49.3,2.5
4.337,55.1,3.07
4.456,59.4,3.57
4.575,70.0,4.61
4.695,84.4,4.96
4.814,84.1,5.39
4.933,85.5,5.88
5.052,88.7,6.73
5.171,105.0,9.6
5.29,131.0,10.4
5.409,162.0,12.1
5.528,174.0,13.2
5.648,146.0,16.1
5.767,142.0,19.2
5.886,161.0,22.2
6.005,148.0,29.2
6.124,145.0,29.6
6.243,217.0,40.8
6.362,183.0,41.8
6.482,230.0,59.8
6.601,232.0,63.4
6.72,251.0,73.7
6.839,201.0,79.1
6.958,239.0,105.0
7.077,224.0,119.0
7.196,254.0,114.0
7.315,196.0,175.0
7.435,167.0,249.0
