0.0,8.8
0.12,16.1
0.24,23.8
0.36,37.4
0.48,49.6
0.6,64.3
0.72,89.0
0.84,118.0
0.96,139.0
1.08,159.0
1.2,193.0
1.32,204.0
1.44,277.0
1.56,328.0
1.68,403.0
1.8,584.0
1.92,757.0
2.04,1040.0
2.16,1370.0
2.28,1730.0
2.4,2230.0
2.52,2880.0
2.64,3650.0
2.76,4750.0
2.88,5670.0
3.0,6900.0
3.12,8170.0
3.24,10600.0
3.36,13800.0
3.48,15900.0
3.6,20400.0
3.72,23600.0
3.84,30700.0
3.96,38400.0
4.08,47200.0
4.2,52100.0
4.32,51400.0
4.44,76100.0
4.56,96600.0
4.68,119000.0
4.8,128000.0
4.92,162000.0
5.04,229000.0
5.16,291000.0
5.28,178000.0
5.4,234000.0
