0.34831,0.57518,0.115036
0.41174,0.7249,0.14498
0.53278,0.85515,0.17103
0.63543,0.96531,0.193062
0.73943,0.976,0.1952
0.88211,0.9237,0.18474
0.98503,1.01997,0.203994
1.09153,0.97441,0.194882
1.19946,1.114,0.2228
1.31811,1.29817,0.259634
1.44795,1.48414,0.296828
1.58876,1.69675,0.33935
1.67485,1.92748,0.385496
1.76024,2.3189,0.46378
1.88398,2.7898,0.55796
2.0362,3.06975,0.61395
2.09381,3.81274,0.762548
2.24549,4.38681,0.877362
2.35936,4.82701,0.965402
2.42832,5.80724,1.161448
2.56959,6.38998,1.277996
2.68832,7.3991,1.47982
2.79053,8.62238,1.724476
2.90425,9.60936,1.921872
3.06094,11.48728,2.297456
3.12457,13.64492,2.728984
3.248,16.83981,3.367962
3.3618,18.64815,3.72963
3.45854,21.7312,4.34624
3.54377,26.47966,5.295932
3.67925,29.8894,5.97788
3.78084,36.65342,7.330684
3.89401,42.71324,8.542648
4.0298,46.99942,9.399884
4.11597,53.05144,10.610288
4.185,63.41907,12.683814
4.32557,73.90399,14.780798
4.47725,85.03125,17.00625
4.54644,100.36075,20.07215
4.70305,120.74113,24.148226
4.80017,136.28872,27.257744
4.89715,155.81237,31.162474
5.02182,173.64779,34.729558
5.16239,202.35656,40.471312
5.27564,234.31313,46.862626
5.37856,257.82596,51.565192
5.45902,296.64519,59.329038
5.57298,324.33861,64.867722
5.75706,387.72279,77.544558
5.82124,440.44803,88.089606
