-0.887,0.0,0.0
-0.766,0.0,0.0
-0.645,0.0,0.0
-0.524,0.0,0.0
-0.403,0.0,0.0
-0.282,3.02,0.29
-0.161,6.83,0.477
-0.04,12.9,0.772
0.081,24.0,1.19
0.202,37.7,1.65
0.322,47.9,2.03
0.443,56.0,1.89
0.564,66.6,2.37
0.685,89.2,2.65
0.806,113.0,3.4
0.927,133.0,3.59
1.048,168.0,4.62
1.169,208.0,4.85
1.29,255.0,6.22
1.411,328.0,7.94
1.532,435.0,10.9
1.653,548.0,16.3
1.774,666.0,23.2
1.895,851.0,30.2
2.016,1140.0,42.9
2.137,1490.0,54.5
2.257,2070.0,94.0
2.378,2570.0,122.0
2.499,3460.0,168.0
2.62,4480.0,254.0
2.741,5740.0,337.0
2.862,7120.0,450.0
2.983,9550.0,605.0
3.104,11500.0,844.0
3.225,13500.0,1030.0
3.346,19300.0,1540.0
3.467,23600.0,2170.0
3.588,24900.0,3180.0
3.709,37900.0,5470.0
3.83,44800.0,8410.0
